Nr.	Gender	Age	Sib.	Eyecol.	Major	Height	Weight
1	2	22	3	3	11	66	185
2	1	39	3	3	6	64	138
3	2	23	2	3	6	75	165
4	2	25	4	4	11	70	190
5	1	20	2	4	6	68	184
6	2	23	5	3	6	76	197
7	2	23	6	3	6	75	190
8	2	18	3	4	11	76	235
9	2	23	4	4	6	71	150
10	1	23	7	4	6	67	154
11	1	21	4	3	6	64	131
12	2	20	1	3	7	72	200
13	2	20	3	3	8	71	193
14	2	21	1	4	8	74	195
15	1	19	4	5	6	103	160
16	2	24	4	4	6	74	158
17	2	18	3	3	8	70	205
18	1	18	1	3	6	67	130
19	2	23	4	4	7	73	158
20	2	22	7	4	6	71	170
21	1	19	4	4	6	69	150
22	1	18	5	3	11	68	125
23	2	23	8	3	6	75	170
24	1	18	7	4	11	68	176
25	2	23	7	3	7	74	165
26	1	18	8	5	11	70	115
27	2	23	5	3	11	71	153
28	1	20	2	4	6	69	120
29	1	20	5	4	6	64	131
30	2	22	6	3	10	75	180
31	2	27	3	3	8	70	200
32	2	21	5	3	6	69	148
33	1	35	3	4	11	62	120
34	2	24	3	4	6	72	150
35	1	21	8	4	11	63	110
36	1	23	5	3	6	70	165
37	1	23	4	4	11	64	137
38	2	23	3	3	6	70	191
39	1	24	2	3	9	63	120
40	2	19	3	3	7	69	273
41	2	21	7	3	7	76	220
42	2	23	4	4	9	70	165
43	2	25	1	5	6	71	153
44	2	22	6	3	6	60	172
45	1	19	3	5	6	65	168
