#Data from a female coyote collected in south Texas from May 2007 to March 2008.  Locations collected at random times.
x	y
659674	3113082
659530	3112961
659412	3112853
659512	3112822
659295	3112739
659280	3112689
659352	3112689
659411	3112687
659454	3112685
659560	3112656
659268	3112634
659281	3112622
659372	3112596
659385	3112574
659354	3112566
659373	3112546
659384	3112543
659160	3112524
657268	3112519
659170	3112498
659367	3112494
657262	3112486
659431	3112474
659383	3112465
656886	3112447
659443	3112428
659510	3112425
659180	3112396
658466	3112390
659228	3112378
656959	3112378
659153	3112373
659357	3112364
659593	3112355
656899	3112336
659301	3112325
657219	3112308
659537	3112274
659569	3112271
657065	3112263
659698	3112248
659029	3112189
660196	3112051
657189	3111952
659301	3111790
657186	3111784
659401	3111725
657965	3111657
659866	3111629
659380	3111605
657652	3111487
659490	3111478
658369	3111476
657672	3111470
657610	3111434
657704	3111429
658764	3111428
660134	3111419
659559	3111400
659894	3111399
659163	3111397
658700	3111344
657796	3111335
658478	3111293
659474	3111292
659040	3111250
658076	3111246
657979	3111221
658027	3111211
658155	3111210
658098	3111203
657918	3111180
658774	3111144
657497	3111131
659086	3111129
657477	3111114
657655	3111097
658124	3111091
659111	3111086
658181	3111082
659202	3111065
658989	3111062
659385	3111043
658150	3111037
659043	3111032
657667	3111031
657626	3111026
658271	3111012
658005	3110977
658046	3110972
658189	3110967
659344	3110947
657984	3110941
658114	3110932
658309	3110924
658258	3110923
656850	3110922
657925	3110902
658092	3110893
658350	3110878
659134	3110864
659223	3110832
658105	3110827
657511	3110827
658640	3110744
659052	3110734
658556	3110673
658820	3110646
657778	3110637
659703	3110627
656881	3110490
659042	3110328
658890	3110300
659114	3110276
659097	3110177
656833	3110124
659336	3110029
658955	3109710
659337	3109681
