Gender	Age	Year	Weight	Height	Married
M	18	Freshman	163	73	N
F	18	Freshman	120	63	N
F	18	Freshman	125	66.5	N
F	18	Freshman	200	67	N
F	18	Freshman	146	64	N
F	18	Freshman	130	67	N
F	18	Freshman	150	66	N
M	18	Freshman	170	76	N
M	18	Freshman	135	66	N
F	18	Freshman	150	60.5	N
F	18	Freshman	140	67	N
F	18	Freshman	145	68	N
M	18	Freshman	190	71	N
F	19	Sophomore	142	68	Y
F	19	Freshman	150	66	N
F	19	Freshman	105	62	N
M	19	Sophomore	145	72	N
F	19	Sophomore	140	65	N
F	19	Sophomore	127	67	N
F	19	Sophomore	130	69	Y
F	19	Freshman	135	65	N
F	19	Sophomore	145	66	N
M	19	Sophomore	206	71	N
F	20	Junior	120	61	N
F	20	Senior	96	62	N
F	20	Sophomore	110	62	N
F	20	Junior	150	69	N
M	20	Sophomore	165	71	N
M	20	Sophomore	311	73	N
F	20	Junior	135	66	N
M	20	Sophomore	175	75	N
M	20	Junior	115	67	N
F	20	Sophomore	125	67	N
F	21	Senior	180	67	N
F	21	Sophomore	210	68	N
F	21	Junior	140	67	N
M	21	Senior	170	77	N
M	22	Sophomore	185	72	Y
M	22	Senior	157	70	N
M	22	Senior	185	70	N
M	23	Sophomore	170	70	Y
M	23	Sophomore	190	73	N
F	23	Senior	150	66	N
M	24	Junior	150	70	N
F	24	Senior	165	62	N
M	24	Junior	160	71	N
M	24	Senior	205	72	Y
M	24	Sophomore	156	68	Y
M	25	Senior	175	70	Y
M	25	Senior	195	74	Y
M	25	Senior	160	74	Y
M	26	Freshman	154	70	Y
M	26	Senior	165	71	Y
M	29	Graduate	235	72	Y
F	30	Sophomore	132	60	Y
M	32	Junior	180	68	N
M	54	Graduate			Y
