#Data from male coyote in southwest Texas from May 2007-March 2008.  Points collected at random times.  
ObjectId	x	y
166.66	654993	3109718
166.66	655213	3109730
166.66	654296	3110991
166.66	655329	3110165
166.66	654466	3110707
166.66	654972	3109964
166.66	654610	3110510
166.66	654840	3110212
166.66	654640	3110256
166.66	654553	3110565
166.66	655102	3110024
166.66	654594	3110422
166.66	654848	3110121
166.66	655132	3110328
166.66	654981	3110115
166.66	655554	3111173
166.66	654970	3110562
166.66	654887	3110124
166.66	654627	3110461
166.66	654940	3110199
166.66	654769	3110089
166.66	654717	3109974
166.66	654931	3110166
166.66	654958	3111005
166.66	654955	3110153
166.66	654832	3110051
166.66	654824	3109954
166.66	654702	3109965
166.66	654809	3110009
166.66	655126	3111663
166.66	654738	3109920
166.66	654809	3109829
166.66	654448	3110039
166.66	654798	3109928
166.66	654779	3110003
166.66	654706	3109873
166.66	654959	3109885
166.66	653925	3110963
166.66	654864	3110066
166.66	654904	3109815
166.66	654791	3110110
166.66	654910	3109943
166.66	654923	3109903
166.66	654907	3109805
166.66	655989	3110458
166.66	654344	3110544
166.66	655811	3110452
166.66	655182	3109813
166.66	655304	3109702
166.66	655106	3109612
166.66	655440	3110227
166.66	655746	3110536
166.66	655697	3110444
166.66	655639	3110267
166.66	654977	3110101
166.66	656110	3111092
166.66	655056	3110033
166.66	655629	3111334
166.66	655710	3110628
166.66	655284	3110858
166.66	655212	3110080
166.66	655466	3110493
166.66	655715	3110928
166.66	656165	3110724
166.66	655234	3110354
166.66	654961	3109963
166.66	655032	3111204
166.66	655528	3110230
166.66	655083	3110519
166.66	655032	3110989
166.66	654689	3110104
166.66	655970	3111051
166.66	654125	3110894
166.66	655648	3110471
166.66	653978	3111066
166.66	653981	3111292
166.66	655644	3110467
166.66	653298	3110654
166.66	655322	3110769
166.66	655187	3110483
166.66	653525	3111181
166.66	653375	3110820
166.66	654670	3110052
166.66	654870	3110186
166.66	653919	3110646
166.66	653333	3111008
166.66	655331	3110939
166.66	655250	3110483
166.66	654965	3110045
166.66	654965	3110020
166.669	653709	3111161
166.66	655074	3110399
166.66	655351	3109997
166.66	656276	3110618
166.66	655673	3111435
166.66	655529	3111596
166.66	655789	3111567
166.66	655963	3110566
166.66	655794	3111569
166.66	655971	3111513
166.66	655424	3110413
166.66	655670	3111119
166.66	655789	3111392
166.66	656059	3111172
166.66	655622	3111219
166.66	656152	3111367
166.66	655177	3110788
166.66	656155	3111175
166.66	654493	3109651
166.66	655783	3110633
166.66	656315	3110754
166.66	656443	3111437
166.66	656105	3110705
166.66	656718	3110771
166.66	655346	3111666
166.66	655995	3110479
166.66	655981	3110625
166.66	655093	3110140
166.66	655986	3110674
166.66	655618	3110010
166.66	654394	3110716
166.66	655865	3111167
166.66	654892	3110809
166.66	654446	3110880
166.66	654804	3110834
