UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	SpringDist	StreamDist	Dist2Water	DepthClass
475609	4636643	99000414	2	n	1806.55	0.013	3.1111	0.922598	0.487512	68.0871	63	63.5359	55	66.7437	65	4538.67726	5297.54763	4538.67726	water
475909	4636643	99000415	3	n	1864.32	25.5744	281.511	0.460669	0.075279	134.422	134	128.647	127	105.283	102	4240.14734	5485.31212	4240.14734	MedDeep
476209	4636643	99000416	4	n	2000.5	26.625	300.644	0.561846	0.165966	130.221	130	113.671	115	92.0098	93	3941.84063	5682.71829	3941.84063	MedDeep
476509	4636643	99000417	5	n	2044.84	15.8567	190.487	0.16236	0.463788	143.696	146	126.527	133	105.293	109	3643.81197	5794.82888	3643.81197	MedDeep
476809	4636643	99000418	6	n	2083.22	18.8137	239.409	0.123658	0.120049	134.428	136	112.822	118	89.8502	93	3346.13565	5523.54414	3346.13565	Shallow
477109	4636643	99000419	7	n	2176.02	16.6072	268.156	0.241765	0.009751	143.495	143	128.124	132	108.137	111	3048.91488	5255.38181	3048.91488	Shallow
477409	4636643	99000420	8	n	2258.21	16.7963	250.691	0.170852	0.087871	159.799	161	149.154	152	130.112	130	2752.29723	4990.84523	2752.29723	Shallow
477709	4636643	99000421	9	n	2287.72	11.0177	179.998	0.192128	0.500489	154.08	153	139.037	137	123.766	119	2456.50121	4720.7252	2456.50121	Shallow
478009	4636643	99000422	10	n	2287.89	3.8847	121.047	0.543549	0.779149	155.294	155	141.164	144	119.736	119	2161.86408	4437.86261	2161.86408	Shallow
478309	4636643	99000423	11	n	2262.31	10.5033	47.0636	0.939028	0.835135	143.32	142	95.4331	95	86.3177	86	1868.93404	4157.40336	1868.93404	Deep
478609	4636643	99000424	12	n	2229.78	10.522	55.7341	0.958961	0.726472	139.36	139	89.0127	88	80.5835	79	1578.66163	3879.86866	1578.66163	Deep
478909	4636643	99000425	13	n	2221.02	4.8763	183.807	0.648457	0.435594	140.212	140	113.313	112	95.6135	94	1292.83823	3605.93385	1292.83823	Deep
479209	4636643	99000426	14	n	2213.44	9.4094	159.913	0.599164	0.503906	143.074	144	120.474	120	104.05	101	1015.22845	3336.48573	1015.22845	Medium
479509	4636643	99000427	15	n	2220.36	6.8652	136.31	0.739096	0.566498	138.62	138	113.693	115	99.6072	98	754.9483	3072.70486	754.9483	Medium
479809	4636643	99000428	16	n	2217.23	5.5158	122.394	0.788596	0.604983	136.707	136	119.384	120	102.979	103	537.77788	2816.18417	537.77788	Medium
480109	4636643	99000429	17	n	2196.05	7.1575	72.0056	0.894207	0.856704	132.001	132	100.643	102	87.4705	87	434.12346	2569.09934	434.12346	Medium
480409	4636643	99000430	18	n	2178.36	3.7219	83.1947	0.874716	0.767017	125.861	126	101.814	101	86.0446	86	517.41792	2334.44844	517.41792	Medium
480709	4636643	99000431	19	n	2199.35	9.7197	223.674	0.359312	0.287263	143.287	143	128.178	128	115.103	113	725.93349	2116.37134	725.93349	Shallow
481009	4636643	99000432	20	n	2192.05	9.5526	109.87	0.533733	0.809839	148.904	147	131.871	130	121.618	119	982.97383	1920.52227	982.97383	Shallow
481309	4636643	99000433	21	n	2166.17	6.4957	108.822	0.562488	0.793385	142.57	141	125.783	125	112.381	110	1259.16467	1754.3614	1259.16467	Medium
481609	4636643	99000434	22	n	2149.57	6.1142	122.568	0.532306	0.831522	136.556	136	117.491	118	102.742	103	1544.26481	1627.01015	1544.26481	Medium
481909	4636643	99000435	23	n	2137.73	5.6597	200.822	0.491266	0.539612	128.585	127	107.097	105	93.894	91	1765.77585	1548.07628	1548.07628	Medium
482209	4636643	99000436	24	n	2135.99	13.507	181.674	0.27361	0.571003	137.601	138	123.373	125	105.382	107	1573.46194	1525.09616	1525.09616	Medium
482509	4636643	99000437	25	n	2119.7	19.5042	263.132	0.579079	0.356521	131.279	125	106.193	101	91.9489	83	1419.01395	1454.80781	1419.01395	Shallow
482809	4636643	99000438	26	n	2155.05	5.2073	144.579	0.845772	0.544802	129.905	131	112.019	112	90.9547	91	1315.83385	1359.79554	1315.83385	Deep
483109	4636643	99000439	27	n	2157.1	3.583	252.796	0.703588	0.418574	131.514	131	117.466	118	96.6052	97	1276.41563	1327.2611	1276.41563	Deep
483409	4636643	99000440	28	n	2151.82	3.6939	102.899	0.629885	0.902924	143.797	145	118.004	118	105.249	106	1306.54314	1361.69018	1306.54314	Deep
483709	4636643	99000441	29	n	2137.83	2.6041	77.8744	0.77818	0.891707	134.784	136	116.49	117	100.638	101	1401.73931	1458.34779	1401.73931	Deep
484009	4636643	99000442	30	n	2128.52	7.267	144.995	0.369999	0.66073	132.159	135	114.525	116	98.8504	101	1550.06169	1606.03748	1550.06169	Deep
484309	4636643	99000443	31	n	2124.46	5.335	164.839	0.209274	0.601549	137.242	141	117.271	119	101.781	104	1516.46397	1738.73548	1516.46397	Deep
484609	4636643	99000444	32	n	2116.62	3.6479	99.8342	0.638533	0.894265	120.627	118	113.167	113	92.4923	91	1378.68538	1592.87765	1378.68538	Deep
484909	4636643	99000445	33	n	2089.22	9.702	90.4447	0.680914	0.879662	129.101	126	119.767	118	99.6171	97	1296.87462	1493.75946	1296.87462	Deep
485209	4636643	99000446	34	n	2064.63	5.1471	141.53	0.388319	0.708812	140.076	143	132.439	136	110.612	114	1281.79334	1450.9912	1281.79334	Deep
485509	4636643	99000447	35	n	2052.33	6.0877	142.405	0.366217	0.677491	142.707	144	138.007	139	114.61	116	1335.70378	1460.69206	1335.70378	Medium
485809	4636643	99000448	36	n	2048.48	6.0627	109.403	0.703943	0.543026	129.084	130	125.362	125	102.145	102	1391.81178	1272.47746	1272.47746	Deep
486109	4636643	99000449	37	n	2036.8	9.1855	88.0782	0.611764	0.618218	125.281	125	122.622	122	99.9544	99	1094.34757	972.50039	972.50039	Deep
486409	4636643	99000450	38	n	2028.84	9.726	132.729	0.378475	0.595589	121.377	121	124.534	125	99.7376	100	798.78231	672.54378	672.54378	Deep
486709	4636643	99000451	39	n	2035.92	7.2068	196.145	0.114441	0.369935	106.747	106	116.454	117	89.2011	89	508.43855	372.65703	372.65703	Deep
487009	4636643	99000452	40	n	2014.16	9.1524	135.689	0.499532	0.801408	122.682	123	126.708	129	102.875	104	242.82984	73.6884	73.6884	Deep
487309	4636643	99000453	41	n	2046	12.8417	226.157	0.353217	0.215289	77.6569	85	97.2719	102	65.6705	72	198.55202	197.1294	197.1294	Deep
487609	4636643	99000454	42	n	2057.09	4.9653	200.543	0.287153	0.40145	123.038	126	129.812	132	104.259	106	447.07883	471.09148	447.07883	Deep
487909	4636643	99000455	43	n	2057.61	1.6074	116.184	0.532779	0.903418	130.16	130	135.88	136	111.189	111	696.65488	752.22858	696.65488	Deep
488209	4636643	99000456	44	n	2052.23	0.9652	118.178	0.542759	0.909684	130.842	130	135.067	135	110.401	110	836.30506	1040.27009	836.30506	Deep
488509	4636643	99000457	45	n	2055.06	1.7321	228.5	0.06961	0.151855	128.506	129	133.807	134	108.314	108	1045.69798	1287.89979	1045.69798	Deep
