UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Bf	Bo	Bn	Cb	Sign	Obs	P	Nhat	Dhatm	Dhatkm	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	Springdist	Streamdist	Dist2water	Depthclass
487609	4635043	98590007	522	y	5	10	59	4	15	78	0.71738	511	0.0085157	8515.7	1969.43	2.7011	167.009	0.340567	0.514646	123.714	125	127.275	128	103.203	104	491.80584	11.85083	11.85083	Deep
487609	4634243	40024585	762	y	11	13	69	12	24	105	0.64104	633	0.010556	10556	1966.67	5.6054	137.287	0.493088	0.763881	130.383	129	135.744	135	109.748	109	94.6676	60.42679	60.42679	Deep
482509	4633443	98590005	985	y	2	3	102	4	5	111	0.73418	783	0.013057	13057	2132.01	3.097	73.3332	0.806136	0.895976	125.125	125	109.134	109	90.8809	91	709.72343	1026.76992	709.72343	Medium
483109	4633443	98590006	987	y	4	5	235	3	9	247	0.63732	1911	0.031853	31853	2089.3	14.1317	73.0118	0.843504	0.655588	116.649	114	99.8639	98	84.8049	82	970.24479	871.17457	871.17457	Deep
479209	4633243	40024978	1034	y	1	0	77	4	1	82	0.39	1142	0.019038	19038	2206.15	8.5319	61.9325	0.916743	0.801643	122.706	122	93.4851	95	77.6028	79	1047.85261	2298.02304	1047.85261	Shallow
481909	4633243	40024980	1043	y	0	4	79	8	4	91	0.3879	1279	0.021321	21321	2116.74	6.0879	170.631	0.308616	0.563493	122.261	122	104.881	105	86.1743	86	211.82224	624.85348	211.82224	Medium
483109	4633043	40024981	1107	y	1	2	228	4	3	235	0.57505	2020	0.033668	33668	2032.23	16.169	281.336	0.690118	0.46369	111.983	106	95.86	87	81.7693	73	1018.81218	949.49905	949.49905	Deep
484309	4633043	40024982	1111	y	1	5	47	4	6	57	0.41909	727	0.01211	12110	2071.89	15.308	104.13	0.950375	0.606591	112.161	112	98.8719	97	81.4248	81	396.44768	301.67531	301.67531	Deep
489409	4633043	40024986	1128	y	13	15	62	6	28	96	0.51834	1001	0.016681	16681	1986.88	6.5397	108.804	0.623716	0.865092	124.825	125	136.391	136	109.873	109	537.31477	601.10272	537.31477	Deep
480109	4632843	98590197	1157	y	6	0	59	0	6	65	0.69602	421	0.0070217	7021.7	2152.76	4.5832	103.829	0.594229	0.745571	127.865	124	112.978	108	96.3951	91	400.16593	1315.82962	400.16593	Medium
477409	4632643	98590102	1208	y	0	0	44	0	0	44	0.5551	414	0.0069056	6905.6	2197.9	7.6236	265.779	0.709574	0.314564	135.02	135	125.213	125	102.52	103	2527.69288	2892.86223	2527.69288	Medium
487909	4632643	98590018	1243	y	6	4	70	7	10	87	0.62959	457	0.0076132	7613.2	1959.81	5.7625	321.669	0.759475	0.299234	109.738	109	120.687	121	93.1603	93	759.4497	403.0697	403.0697	Deep
481009	4632443	98590004	1280	y	0	0	42	1	0	43	0.78791	265	0.004135	4135	2129.82	7.8772	95.9447	0.670835	0.742928	121.756	122	98.8064	100	82.33	83	1078.08648	345.18794	345.18794	Medium
478609	4632043	40025377	1392	y	2	0	186	6	2	194	0.59901	1516	0.025261	25261	2197.96	2.8841	190.36	0.603185	0.445936	118.92	118	101.862	101	79.0777	78	1394.36322	2565.47251	1394.36322	Medium
482509	4632043	40025380	1405	y	1	8	26	7	9	42	0.58095	388	0.0064711	6471.1	2137.37	2.0142	148.787	0.303135	0.736036	122.54	122	112.578	112	93.0375	92	616.55747	834.36429	616.55747	Medium
488509	4632043	40025385	1425	y	5	9	25	2	14	41	0.62987	331	0.0055209	5520.9	1998.93	12.1883	95.7815	0.79129	0.852682	130.776	130	141.372	141	113.641	114	894.9594	580.67539	580.67539	Deep
480109	4631843	98590040	1457	y	0	0	121	6	0	127	0.63615	940	0.015661	15661	2167.26	6.5467	74.022	0.792683	0.874202	121.606	120	93.3706	94	78.4431	78	665.31275	1058.79246	665.31275	Medium
490609	4631043	40025786	1732	y	0	2	15	0	2	17	0.5551	162	0.0027022	2702.2	2051.89	11.1409	96.449	0.645453	0.824743	138.058	133	142.036	138	119.23	115	1145.17793	657.95048	657.95048	Deep
478009	4630843	40025776	1750	y	0	2	61	1	2	64	0.42057	831	0.013855	13855	2190.94	10.3105	223.56	0.087447	0.217036	126.596	127	112.127	112	90.762	91	1617.24561	1722.19148	1617.24561	Medium
480409	4630843	40025778	1758	y	0	1	26	1	1	28	0.49334	320	0.0053342	5334.2	2192.68	11.9765	180.381	0.090827	0.467924	131.555	132	120.874	122	102.712	103	1597.52283	1266.22585	1266.22585	Medium
483109	4630843	40025780	1767	y	9	10	245	3	19	267	0.51421	2566	0.04277	42770	2060.79	14.8086	175.98	0.610846	0.585986	120.023	114	101.95	97	87.5034	81	463.20851	819.54554	463.20851	Deep
484309	4630843	40025781	1771	y	6	22	252	2	28	282	0.59576	2243	0.037388	37388	2032.38	11.0874	99.52	0.886507	0.558581	112.744	112	97.2459	97	80.991	81	393.91293	69.57581	69.57581	Deep
485509	4630843	40025782	1775	y	23	18	186	6	41	233	0.62304	1883	0.031377	31377	1994.01	7.1488	70.1161	0.767073	0.670424	125.907	125	120.439	120	98.8681	98	1073.98885	57.11743	57.11743	Deep
488209	4630843	40025784	1784	y	0	2	80	32	2	114	0.43641	1434	0.023905	23905	1954.59	8.1032	284.443	0.707384	0.422371	114.586	114	118.556	118	93.8093	93	599.37651	46.42699	46.42699	Deep
479809	4630643	98590191	1816	y	1	5	188	5	6	199	0.70582	1302	0.021704	21704	2175.76	5.6046	70.4236	0.89273	0.731728	111.584	111	89.2843	89	72.0396	72	1845.33815	1821.88729	1821.88729	Medium
481609	4630643	98590003	1822	y	1	2	188	2	3	193	0.53343	1797	0.029952	29952	2109.39	11.2268	139.992	0.306679	0.586989	129.774	133	112.02	113	94.3739	96	381.64557	1291.48831	381.64557	Medium
479809	4630243	98590001	1936	y	1	4	56	0	5	61	0.7557	328	0.0054722	5472.2	2180.95	8.7989	177.141	0.098949	0.523837	125.956	125	106.596	105	88.7152	87	2193.56967	2109.56787	2109.56787	Deep
481609	4629043	98590002	2302	y	1	4	46	3	5	54	0.66722	355	0.0059162	5916.2	2128.88	3.5842	134.353	0.418861	0.682803	121.027	121	105.037	105	87.1685	87	1053.55001	2589.12191	1053.55001	Medium
479209	4628843	40026576	2354	y	2	1	67	1	3	71	0.46967	756	0.012607	12607	2208.6	6.4789	203.865	0.033036	0.310704	124.861	124	113.593	112	90.1641	87	1475.61761	2513.14794	1475.61761	Shallow
481909	4628843	40026578	2363	y	14	16	126	1	30	157	0.47593	1659	0.027647	27647	2115.44	6.9595	132.827	0.357496	0.546499	120.898	120	107.128	107	88.961	89	746.14168	2284.82211	746.14168	Shallow
487009	4628843	40026582	2380	y	3	1	32	2	4	38	0.52926	394	0.0065704	6570.4	2046.69	1.43	240.482	0.280735	0.181666	105.121	105	117.309	117	91.0445	91	1202.2262	942.51419	942.51419	Deep
489409	4628843	40026584	2388	y	0	0	16	8	0	24	0.41145	329	0.005821	5821	1993.15	5.0024	113.975	0.510254	0.682443	123.753	123	134.709	134	109.908	109	2375.21461	1838.90709	1838.90709	Deep
491809	4628843	40026586	2396	y	0	0	0	1	0	1	0.5551	18	0.00030024	300.24	1943.43	4.1098	151.441	0.263876	0.710235	136.842	136	139.797	140	116.868	116	1711.33558	2451.21646	1711.33558	Deep
484309	4628643	40026580	2431	y	19	24	248	4	43	295	0.58578	2368	0.039469	39469	2039.34	14.1995	159.057	0.574306	0.672072	126.804	131	109.43	114	92.5442	96	126.4084	41.35158	41.35158	Shallow
480409	4626643	40027376	3018	y	7	18	97	9	25	131	0.54393	1172	0.019525	19525	2100.13	3.7858	42.168	0.967818	0.751511	116.452	117	107.328	107	83.2389	82	1084.87366	1895.65211	1084.87366	Medium
483109	4626643	40027378	3027	y	0	0	14	6	0	20	0.5551	360	0.0060049	6004.9	2101.12	3.175	86.7183	0.696284	0.858967	118.573	118	112.234	111	91.6119	91	641.90475	701.92877	641.90475	Deep
485509	4626643	40027380	3035	y	2	7	84	1	9	94	0.50371	940	0.015673	15673	2023.45	11.9365	98.3603	0.752823	0.740725	130.874	128	125.166	122	103.336	100	371.23577	1588.67383	371.23577	Deep
487909	4626643	40027382	3043	y	0	2	6	1	2	9	0.5551	162	0.0027022	2702.2	1989.68	3.5974	115.416	0.650551	0.909625	128.205	126	137.299	136	112.187	111	2236.22025	632.06527	632.06527	Deep
