GSM118665.CEL	GSM118666.CEL	GSM118667.CEL	GSM118668.CEL	GSM118669.CEL	GSM118671.CEL	GSM118673.CEL	GSM118674.CEL	GSM118677.CEL	GSM118679.CEL	GSM118681.CEL	GSM118682.CEL	GSM118684.CEL	GSM118686.CEL	GSM118687.CEL	GSM118689.CEL
1416554_at	7.62731949352919	7.47759402881827	7.76073076481775	7.73316351697039	7.32050460522983	8.49324751327083	8.39810701441907	8.49719647249938	8.54079688858523	8.4872536871168	8.53643295721612	8.30713946200544	8.32543756676248	8.31740845463856	8.2689248371836	8.2654837862726
1416910_at	5.11669518837173	4.41037696455284	5.03313633702115	5.90497697579108	5.59469685719214	7.16365885924489	7.32651736335163	7.02782594948652	7.34700417040021	8.03093204914705	7.3764549374043	7.53530951410854	7.68763344209039	7.03338870177984	7.3021024342696	7.6639592212246
1418301_at	5.69344443619246	5.95152655837156	6.02559356359525	5.90773759617015	6.08090037911141	4.4651928590796	5.01114458207416	4.88447222511492	4.00196818661235	4.71313398467688	4.02407327391166	4.61766723299575	4.4651928590796	4.14525348055922	4.53244948090964	4.23415024827002
1418449_at	8.18224441877995	7.75685061261959	7.9028884466976	8.5312425747396	7.19570963546687	5.45913761558379	5.91234429134322	6.35309182593466	5.48902521725719	5.73649573882858	4.4318874613995	5.0804261746822	4.99618061983067	4.83133572049308	5.16318787021419	5.37891274476951
1425084_at	7.10876116303854	6.98163478771097	7.46575121981019	7.92383341764006	7.32949684131803	9.26256687532622	9.0819841576204	9.34029655116429	8.75007274304825	8.63100316142111	9.03655838279555	9.25219950738721	9.09687843063995	8.8397655755127	8.57343726898984	9.24198978260294
1426112_a_at	6.60841457839868	6.46943885825331	6.006331553922	6.39913418860255	5.88120686617718	4.70637317368551	4.96391608197651	4.80954097085071	4.44782957363008	4.94548096328684	4.24231758621386	4.49200795550924	4.11042392282045	4.28465143336353	4.63836563360497	4.43438958839188
1426662_at	8.74684574310762	8.28113082142892	8.877309485542	9.00509015030597	8.3536255600156	9.55617988156654	9.74508468746711	9.54981089705423	9.38535939371407	9.6428823013671	9.70842245821815	9.77491161517315	9.74404999959972	9.60161964190072	9.71985534325553	9.71192942386275
1426918_at	6.31585591478332	5.25565509470852	5.77569705663965	7.47152187741532	5.10399011407347	9.51228341220344	9.16404995133012	8.86639816093425	9.77572749056647	9.77309968668185	9.75453735456366	9.07558252042363	8.9118919107135	9.71229855164994	8.89370935295264	8.66230758198364
1427040_at	6.48404405841007	5.92388172474381	6.09798639468857	6.62695231260169	5.33164194430577	7.8298479381794	7.35305990075911	7.83506511122444	8.19075773698542	7.6252121484694	7.91548970737621	7.51479549310884	8.27347620598403	8.08395430400026	8.12303766803935	8.21470320937931
1427084_a_at	4.53724187989495	3.89981869472229	4.23426906327133	3.89595179905424	3.85482956187732	3.01238352359209	2.76338077086508	3.23062488655132	2.85708608487322	2.75556943966506	2.78192988125436	2.88946277459928	2.99758756793305	2.8065961266959	2.99282278514603	2.79468692899355
