"RowNames","rate","count","etpr","lfpr","rate.se","count.se","etpr.se","lfpr.se"
"DC",8.9,.2525,59.632858518,65.465890279,.52343,.015327281509,1.0759387983,.9992506405
"WV",7.9,.62104,50.08027515,54.351413012,.451,.037637423794,1.1200300937,1.0603339118
"CA",7.8,12.09609,60.337287806,65.474995399,.19449,.30654198932,.3699210519,.3459428401
"AK",7.3,.22114,67.342734015,72.660012026,.4509,.01439030537,1.6106946893,1.5259362969
"RI",7,.33763,60.068475366,64.563049268,.47589,.023632724702,1.0433982731,.9765704413
"LA",6.9,1.34672,57.00196948,61.217010565,.44226,.08923393827100001,1.0550652576,.9983736079
"WA",6.4,1.78748,64.043742887,68.402211023,.45401,.12970331733999999,.9912649675,.9416402896
"NJ",6.4,2.60423,62.252866555,66.516300419,.21355,.08854486243200001,.4815808883,.4493056066
"NY",6.3,5.38164,57.006234436,60.862824486,.1767,.1550911452,.467798676,.4424840248
"NM",6.3,.49409,59.552168359,63.536791501,.4193,.033929985766,1.0626607584,1.0045092901
"AL",6.3,1.29486,59.344515238,63.319902254,.4208,.089217721375,1.0791349504,1.013793254
"MS",6.1,.77057,59.119049804,62.975844665,.41351,.053510627175,1.0980620264,1.0231293661
"TX",6,5.76166,65.254449182,69.435874081,.21025,.20677687572,.6177185084,.5769842167
"PA",5.9,3.42983,59.234019887,62.931114984,.20917,.12446220414999999,.4685872157,.4406131676
"MT",5.9,.25713,62.413691684,66.327611562,.40705,.018201328051000002,1.1019739126,1.0417563981
"HI",5.9,.33983,63.318376027,67.260328661,.44617,.026322388077000002,1.0301605273,.9610600869
"ME",5.7,.36769,62.964177292,66.791074681,.43035,.028280304357,1.1721891517,1.1074735809
"FL",5.5,3.74905,58.643015597,62.048970321,.2011,.1414079401,.5868434232,.5573107424
"CT",5.5,.94176,64.136552272,67.878184466,.42554,.074575078062,1.2714599461,1.1863173556
"NV",5.4,.43211,65.202644782,68.921803326,.39548,.032343589921,1.0960735149,1.0304259249
"MA",5.4,1.6994,63.941612003,67.56577427,.19694,.063745188691,.5592445602,.522502144
"KY",5.4,1.00325,59.593409661,62.988426722,.38847,.074717619059,1.2728499803,1.181472002
"ID",5.4,.32204,66.294273429,70.069627675,.37839,.023089816108,1.0778875227,1.0195803515
"MI",5.3,2.53809,62.313612081,65.834799149,.19592,.09507797444800001,.5522287283,.5182981204
"TN",5.2,1.40734,63.523126969,66.999664409,.37132,.10281681215,1.0607053262,.9888221945
"IL",5.2,3.13407,64.760395873,68.278401916,.19535,.1209054422,.5185133071,.4863945594
"SC",5.1,.94384,63.278286466,66.662457042,.3827,.072415192706,1.0096793824,.9550482888
"MD",5.1,1.38803,67.135637112,70.742048284,.38288,.10591241196000001,1.0321457602,.9536549824
"AZ",5.1,1.07666,64.379904561,67.824219562,.37568,.081139809227,1.0605801304,.9755532802
"GA",4.9,1.76339,63.76672791,67.034031713,.33978,.12479090908,.8624042434,.8147703941
"AR",4.9,.59404,61.657629139,64.805593819,.37351,.046342762014,.9062019977,.846326381
"WY",4.8,.12218,68.109806662,71.523200559,.37196,.0096829906639,1.1124891795,1.0442627826
"OR",4.8,.79991,64.664104765,67.958619388,.37481,.062836204858,1.0019185083,.9489642042
"OH",4.8,2.661,62.811644867,65.954453925,.18478,.10574982632999999,.6077365537,.5729497975
"MO",4.8,1.35423,67.279388345,70.65779538,.36033,.10446158268,1.2504819306,1.1642705126
"OK",4.7,.72678,60.31957515,63.293443126,.37195,.058542683701,.9993898119,.9407380584
"IN",4.7,1.45854,67.846544939,71.158211921,.34963,.11147104078,1.0639954189,.9994875231
"VA",4.5,1.5761,66.906231836,70.065426758,.33326,.11916532257000001,1.1892796846,1.1146626552
"KS",4.4,.59164,67.185794228,70.314038334,.3608,.048863029742,1.1855741458,1.0988603002
"NC",4.3,1.57554,63.874636184,66.767584814,.18618,.068821967277,.557562307,.5260276517
"DE",4.3,.16541,66.679771516,69.704219345,.36867,.014257367987,1.0688763382,.9986455601
"VT",4.2,.13574,68.299497394,71.326768429,.36693,.01187613818,1.0971857186,1.0219189329
"CO",4.2,.87558,70.67214229,73.763900903,.33156,.07071917385,1.2656867046,1.2001797439
"NH",4,.2516,69.575991988,72.456457459,.36399,.023321330913000003,1.1149190337,1.0374505173
"WI",3.7,1.05474,71.019464421,73.752670338,.31436,.090642378434,1.092996533,1.0183598664
"MN",3.7,.95862,72.514192235,75.302554408,.31995,.08388972131700001,1.1260681965,1.0374199123
"UT",3.6,.34617,69.24176942,71.801966708,.31144,.030704258528,1.1803575083,1.1196645043
"IA",3.5,.54403,69.810990371,72.334978151,.308,.048479643201,.954988356,.8952477183
"ND",3.3,.10936,68.49199012,70.807410021,.29879,.010151584768,1.2528225942,1.1575065471
"SD",2.9,.11123,69.88969735,71.983816842,.27315,.010572107017000001,1.1156678223,1.0407807931
"NE",2.6,.23717,71.963740642,73.91893674,.26602,.024025784551,.9298940727,.8852810895
