STATE;RATEWF;COUNTWF;LBWF;UBWF;LWF_UUS;LUS_UWF;ECOUNTWF
US;23.9268;752779;23.8717;23.9819;-0.1102;-0.1102;752779
AL;21.5907;9979;21.1611;22.0203;-2.8208;1.8514;11248
AK;35.4436;689;32.6026;38.2845;8.6207;-14.4128;546
AZ;25.6485;10519;25.1495;26.1474;1.1676;-2.2757;10359
AR;23.0613;7499;22.5243;23.5984;-1.4576;0.2733;7895
CA;28.0889;85965;27.8983;28.2795;3.9164;-4.4078;73264
CO;18.7434;6683;18.2892;19.1977;-5.6927;4.674;8664
CT;23.8188;11641;23.3778;24.2598;-0.6041;-0.3881;11617
DE;27.8098;2177;26.6296;28.9899;2.6477;-5.1182;1899
DC;21.9853;865;20.4131;23.5576;-3.5688;0.3141;813
FL;27.8806;53950;27.6316;28.1295;3.6497;-4.2578;48345
GA;22.3103;13172;21.926;22.6945;-2.0559;1.1772;14475
HI;26.2695;845;24.4916;28.0473;0.5097;-4.1756;791
ID;18.8223;2305;18.0429;19.6017;-5.939;4.27;2986
IL;22.7666;34989;22.523;23.0102;-1.4589;0.8615;36248
IN;23.7158;18066;23.3639;24.0676;-0.618;-0.1959;18258
IA;18.2001;8647;17.7992;18.601;-6.1827;5.2707;11230
KS;19.7549;7296;19.2832;20.2267;-4.6987;3.645;8754
KY;26.8522;13503;26.3915;27.313;2.4096;-3.4413;12168
LA;26.1647;10866;25.6679;26.6616;1.686;-2.7899;9973
ME;25.8348;4690;25.0748;26.5949;1.0929;-2.7232;4358
MD;28.2958;14114;27.825;28.7667;3.8431;-4.895;11972
MA;24.1382;22942;23.8156;24.4608;-0.1663;-0.5891;22239
MI;23.5696;27160;23.286;23.8532;-0.6959;0.0185;27591
MN;18.3802;11116;18.0268;18.7336;-5.9551;5.1381;14295
MS;22.1186;5759;21.5364;22.7008;-2.4455;1.1709;6273
MO;23.34;17736;22.9842;23.6957;-0.9977;0.176;18026
MT;21.7397;2359;20.8472;22.6323;-3.1347;1.2394;2628
NE;17.9033;4400;17.3498;18.4569;-6.6321;5.4148;5802
NV;37.555;3931;36.3793;38.7307;12.3974;-14.859;2747
NH;25.4265;3523;24.5684;26.2846;0.5865;-2.4129;3358
NJ;24.9351;27767;24.6373;25.233;0.6554;-1.3613;26189
NM;20.1564;3178;19.4514;20.8614;-4.5305;3.0103;3879
NY;23.8674;62520;23.6759;24.0588;-0.306;-0.1871;60323
NC;20.7159;14915;20.3801;21.0516;-3.6018;2.8201;17725
ND;14.5173;1375;13.7187;15.3159;-10.2632;8.5558;2256
OH;24.62;37287;24.3662;24.8738;0.3843;-1.0021;36126
OK;24.6641;10670;24.1833;25.1449;0.2014;-1.2732;10357
OR;28.2405;10938;27.699;28.7821;3.7171;-4.9104;9457
PA;21.6093;42454;21.3991;21.8195;-2.5828;2.0522;46239
RI;23.3329;3875;22.5734;24.0924;-1.4085;-0.2207;3952
SC;22.1983;7217;21.6827;22.7139;-2.2992;1.1578;8061
SD;16.3986;1750;15.5919;17.2052;-8.39;6.6665;2519
TN;21.8297;13303;21.4533;22.2062;-2.5286;1.6655;14893
TX;23.6421;41027;23.4108;23.8734;-0.5711;-0.0017;42022
UT;10.1735;1588;9.6679;10.6791;-14.314;13.1926;3795
VT;22.7386;1698;21.6287;23.8485;-2.3532;0.0232;1801
VA;25.3121;15891;24.9154;25.7088;0.9335;-1.8371;15245
WA;27.5994;15775;27.1611;28.0377;3.1792;-4.166;13893
WV;26.858;8046;26.2615;27.4546;2.2796;-3.5829;7170
WI;18.4845;13043;18.1577;18.8112;-5.8242;5.0605;16794
WY;20.605;1076;19.3637;21.8463;-4.6182;2.0254;1263
