STATE;RATEWM;COUNTWM;LBWM;UBWM;LWM_UUS;LUS_UWM;ECOUNTWM
US;69.3961;1690373;69.2915;69.5007;-0.2092;-0.2092;1690373
AL;83.5079;29371;82.5514;84.4645;13.0507;-15.173;24338
AK;68.9851;1318;64.7306;73.2396;-4.7701;-3.9481;1481
AZ;62.4409;21280;61.5953;63.2864;-7.9054;6.0051;23983
AR;84.2502;22222;83.137;85.3635;13.6363;-16.072;18409
CA;63.3114;151213;62.9922;63.6305;-6.5085;5.661;166306
CO;50.9162;14204;50.0775;51.755;-19.4232;17.5365;19527
CT;62.6129;23129;61.8061;63.4197;-7.6946;5.8718;25715
DE;79.4964;4739;77.2225;81.7703;7.7218;-12.4788;4165
DC;55.7118;1413;52.7925;58.631;-16.7082;10.6605;1720
FL;70.44;110915;70.0124;70.8676;0.5117;-1.5761;112551
GA;83.4755;36631;82.6141;84.3369;13.1134;-15.0454;30371
HI;55.3969;1649;52.6809;58.1129;-16.8198;11.1786;2117
ID;50.0949;5376;48.7547;51.435;-20.746;17.8565;7441
IL;69.748;81787;69.2702;70.2258;-0.2305;-0.9343;81056
IN;76.878;44926;76.1677;77.5884;6.667;-8.2969;40421
IA;64.8339;24254;64.0149;65.6528;-5.4858;3.6387;25790
KS;64.4285;18674;63.5024;65.3547;-5.9983;3.9368;20028
KY;88.004;34900;87.0814;88.9267;17.5807;-19.6352;27426
LA;86.7887;27307;85.755;87.8224;16.2543;-18.5309;21867
ME;76.0801;10738;74.641;77.5191;5.1403;-8.2276;9779
MD;76.6029;28742;75.7119;77.494;6.2112;-8.2025;26236
MA;67.9645;46244;67.3453;68.5836;-2.1554;0.7079;47071
MI;69.1134;62839;68.5729;69.6539;-0.9278;-0.3624;63058
MN;52.324;25443;51.68;52.968;-17.8207;16.3235;33584
MS;85.2068;16930;83.9224;86.4912;14.4217;-17.1997;13756
MO;75.3688;44050;74.6642;76.0734;5.1635;-6.7819;40429
MT;56.5582;5373;55.0457;58.0707;-14.455;11.2208;6577
NE;59.1739;11642;58.0937;60.2541;-11.407;9.0374;13584
NV;75.264;7226;73.4885;77.0395;3.9878;-7.748;6781
NH;71.9171;7700;70.3106;73.5237;0.8099;-4.2322;7438
NJ;69.7991;58369;69.2322;70.3659;-0.2685;-1.0744;58223
NM;49.4622;6419;48.25;50.6743;-21.2507;18.6172;9103
NY;65.1638;126852;64.8053;65.5223;-4.6954;3.7692;134442
NC;75.6353;40735;74.8976;76.3729;5.3969;-7.0814;37367
ND;47.3845;3969;45.9002;48.8689;-23.6005;20.4226;5787
OH;75.1928;86694;74.6924;75.6933;5.1917;-6.4018;79747
OK;80.0979;27185;79.1455;81.0502;9.6448;-11.7587;23527
OR;67.4339;21843;66.538;68.3299;-2.9627;0.9616;22458
PA;67.6033;99156;67.1819;68.0247;-2.3188;1.2668;101736
RI;74.1884;8952;72.65;75.7268;3.1493;-6.4353;8386
SC;80.5749;19525;79.4298;81.7201;9.9291;-12.4286;16894
SD;53.0011;4807;51.4914;54.5108;-18.0093;14.7807;6252
TN;83.4674;38999;82.6387;84.2961;13.138;-15.0046;32337
TX;70.8042;95372;70.3542;71.2542;0.8535;-1.9627;93708
UT;33.4413;4270;32.4375;34.4451;-37.0632;34.8464;8924
VT;69.6538;4102;67.5229;71.7846;-1.9778;-2.4931;4072
VA;76.6023;36087;75.8066;77.398;6.3059;-8.1065;32885
WA;66.8911;31387;66.1513;67.6309;-3.3494;1.6606;32624
WV;81.4388;19098;80.2834;82.5942;10.7827;-13.3027;16222
WI;55.7279;31873;55.1153;56.3405;-14.3854;12.951;39550
WY;54.5007;2444;52.3361;56.6653;-17.1646;12.6262;3126
