Gender,Age,Weight,Level,Siblings,FBFriends
M,19,150,Sophomore,3,1200
M,22,225,Sophomore,5,2500
F,36,125,Senior,4,106
F,21,175,Senior,2,528
M,24,180,Junior,5,250
M,22,175,Junior,4,350
F,22,128,Senior,2,340
M,19,193,Freshman,5,1200
F,20,160,Sophomore,2,1500
F,19,130,Sophomore,3,500
M,22,110,Junior,5,548
M,27,157,Junior,3,150
F,18,130,Junior,4,300
F,18,114,Freshman,3,400
M,24,314,Senior,7,400
M,21,180,Junior,7,950
M,22,172,Junior,6,300
M,22,175,Junior,5,900
M,21,264,Sophomore,4,898
F,20,135,Junior,2,190
M,24,150,Senior,7,600
M,27,175,Junior,6,250
M,22,195,Junior,5,500
F,19,120,Sophomore,3,0
M,59,152,Senior,5,0
M,23,186,Junior,1,800
F,18,180,Freshman,3,200
M,23,184,Junior,7,310
F,19,105,Freshman,4,200
M,29,280,Senior,5,0
F,20,130,Junior,3,723
F,37,190,Senior,4,40
F,18,195,Freshman,8,176
F,19,156,Sophomore,4,321
M,24,195,Freshman,4,250
M,24,230,Junior,6,400
M,26,198,Graduate,7,650
F,19,120,Freshman,3,1500
F,19,148,Freshman,9,250
M,22,155,Junior,5,600
F,19,135,Sophomore,5,592
M,22,150,Junior,6,260
F,22,143,Junior,3,1563
M,21,200,Sophomore,3,800
F,19,120,Freshman,2,350
F,20,150,Junior,6,1100
F,19,102,Sophomore,5,1500
M,22,215,Junior,4,638
M,31,170,Junior,4,270
