Gender,Age,Weight,Height,Level,Siblings,FBFriends,WearingShorts
F,22,157,66,Junior,6,2537,No
M,22,142,70,Junior,3,482,No
M,23,145,73,Sophomore,6,650,Yes
F,34,120,68,Freshman,7,,No
M,21,145,72,Junior,2,0,No
F,19,130,64,Sophomore,4,200,No
M,24,160,70,Junior,5,265,Yes
M,22,190,73,Junior,4,1100,Yes
F,20,130,58,Junior,3,529,Yes
M,24,190,75,Senior,6,300,Yes
F,19,110,55,Sophomore,4,1200,No
M,22,170,70,Junior,4,1000,No
M,22,150,69,Sophomore,3,800,No
M,19,139,70,Sophomore,2,300,Yes
F,18,105,62,Freshman,5,638,No
M,22,175,73.8,Junior,5,1100,No
M,23,215,62,Junior,4,164,Yes
M,19,,77,Sophomore,3,1100,Yes
F,21,175,71,Senior,8,1000,No
M,22,165,69,Sophomore,1,,Yes
M,22,,76,Junior,4,570,No
M,21,174,73,Junior,2,450,No
F,18,142,67,Freshman,2,500,Yes
F,21,120,62,Junior,3,1300,Yes
F,20,120,66,Junior,3,,No
M,22,240,73,Junior,6,200,Yes
F,18,145,67,Sophomore,4,450,No
M,22,170,70,Junior,5,539,Yes
M,23,200,69,Junior,5,582,Yes
M,21,195,76,Senior,2,311,No
M,20,130,68,Junior,7,200,No
M,23,100,62,Junior,5,597,No
M,20,150,72,Junior,3,0,Yes
M,22,195,76,Junior,4,300,Yes
M,18,205,71,Freshman,3,400,No
F,22,150,66,Senior,5,371,No
F,18,160,67,Freshman,4,150,Yes
M,22,165,72,Sophomore,7,365,No
M,24,235,73,Junior,10,632,No
F,29,117,62,Sophomore,3,53,Yes
M,22,210,72,Junior,4,200,No
F,19,158,64,Freshman,4,,No
M,24,150,70,Junior,3,0,No
M,21,200,75,Junior,6,1000,Yes
M,21,150,69,Sophomore,7,1300,No
F,18,115,64,Freshman,5,0,Yes
M,24,150,69,Senior,5,300,No
F,17,130,74,Freshman,2,500,No
F,19,127,66,Sophomore,2,300,Yes
M,25,190,73,Junior,4,700,Yes
F,21,140,69,Sophomore,9,500,No
F,19,125,67,Sophomore,4,430,No
F,21,135,66,Senior,2,700,No
F,21,135,65,Junior,4,500,No
M,25,168,70,Senior,4,600,No
M,23,170,70,Senior,3,500,Yes
F,25,145,66,Junior,3,0,No
F,23,150,69,Junior,4,900,No
M,21,140,70,Junior,6,120,Yes
M,23,195,68,Junior,4,540,No
F,21,115,62,Junior,2,1,No
F,19,135,65,Sophomore,2,500,Yes
M,20,181,76,Sophomore,6,,Yes
F,36,180,69,Graduate,6,90,No
