MonthSeq,MonthYear,Visitors
1,January 2001,44356
2,February,48980
3,March,18485
4,April,28341
5,May,229085
6,June,507737
7,July,724735
8,August,613965
9,September,373583
10,October,121958
11,November,19585
12,December,27716
13,January 2002,40465
14,February,52002
15,March,23305
16,April,15904
17,May,228642
18,June,568144
19,July,794929
20,August,663266
21,September,413960
22,October,142702
23,November,11235
24,December,19123
25,January 2003,36387
26,February,39494
27,March,17718
28,April,28877
29,May,206245
30,June,580919
31,July,809689
32,August,698753
33,September,404498
34,October,175877
35,November,7967
36,December,12951
37,January 2004,22817
38,February,30030
39,March,20187
40,April,32434
41,May,216905
42,June,584925
43,July,732682
44,August,657869
45,September,406327
46,October,135605
47,November,13939
48,December,14597
49,January 2005,22297
50,February,29018
51,March,17324
52,April,26116
53,May,225811
54,June,560014
55,July,743165
56,August,647288
57,September,393362
58,October,142912
59,November,11505
60,December,16839
61,January 2006,23989
62,February,29011
63,March,18879
64,April,29381
65,May,230762
66,June,557213
67,July,738807
68,August,635666
69,September,428369
70,October,146790
71,November,12382
72,December,19046
73,January 2007,25476
74,February,30928
75,March,20225
76,April,27798
77,May,264203
78,June,609606
79,July,822773
80,August,710781
81,September,463994
82,October,139789
83,November,15362
84,December,20408
85,January 2008,26864
86,February,33557
87,March,19147
88,April,24433
89,May,217938
90,June,593405
91,July,808110
92,August,731063
93,September,437552
94,October,145488
95,November,12671
96,December,16352
97,January 2009,24770
98,February,28355
99,March,17317
100,April,24831
101,May,261763
102,June,643844
103,July,900515
104,August,752983
105,September,489438
106,October,123867
107,November,9397
108,December,18107
109,January 2010,25595
110,February,29108
111,March,21028
112,April,32763
113,May,250445
114,June,694841
115,July,957785
116,August,854837
117,September,550504
118,October,189072
119,November,16819
120,December,17388
