Total,HWScore,CanvasTime,Mystery
106,65,2,151
146,64,4,265
105,62,5,148
86,52,5,106
130,65,8,216
100,67,8,136
123,0,12,196
98,55,21,132
144,32,31,259
71,31,31,77
128,30,32,210
64,50,40,65
166,70,48,334
165,70,55,331
169,62,58,345
178,67,62,380
136,33,66,234
119,61,73,184
165,68,76,331
108,18,77,156
43,21,82,36
172,66,83,357
103,57,87,144
120,26,88,187
110,57,88,161
171,70,100,353
163,69,101,324
55,62,104,51
147,35,114,268
103,26,128,144
157,68,135,302
150,64,148,278
171,67,153,353
50,0,158,44
152,46,187,285
171,68,192,353
161,67,204,316
126,43,204,204
165,66,212,331
176,71,218,372
151,62,230,282
127,56,238,207
127,70,261,207
94,67,276,123
162,56,287,320
131,57,321,219
47,34,497,40
