"","Age","Status"
"1","15To19","FullTime"
"2","15To19","FullTime"
"3","15To19","FullTime"
"4","15To19","FullTime"
"5","15To19","FullTime"
"6","15To19","FullTime"
"7","15To19","FullTime"
"8","15To19","FullTime"
"9","15To19","FullTime"
"10","15To19","FullTime"
"11","15To19","FullTime"
"12","15To19","FullTime"
"13","15To19","FullTime"
"14","15To19","FullTime"
"15","15To19","FullTime"
"16","15To19","FullTime"
"17","15To19","FullTime"
"18","15To19","FullTime"
"19","15To19","FullTime"
"20","15To19","FullTime"
"21","15To19","FullTime"
"22","15To19","FullTime"
"23","15To19","FullTime"
"24","15To19","FullTime"
"25","15To19","FullTime"
"26","15To19","FullTime"
"27","15To19","FullTime"
"28","15To19","FullTime"
"29","15To19","FullTime"
"30","15To19","FullTime"
"31","15To19","FullTime"
"32","15To19","FullTime"
"33","15To19","FullTime"
"34","15To19","FullTime"
"35","15To19","FullTime"
"36","15To19","FullTime"
"37","15To19","FullTime"
"38","15To19","FullTime"
"39","15To19","FullTime"
"40","15To19","FullTime"
"41","15To19","FullTime"
"42","15To19","FullTime"
"43","15To19","FullTime"
"44","15To19","FullTime"
"45","15To19","FullTime"
"46","15To19","FullTime"
"47","15To19","FullTime"
"48","15To19","FullTime"
"49","15To19","FullTime"
"50","15To19","FullTime"
"51","15To19","FullTime"
"52","15To19","FullTime"
"53","15To19","FullTime"
"54","15To19","FullTime"
"55","15To19","FullTime"
"56","15To19","FullTime"
"57","15To19","FullTime"
"58","15To19","FullTime"
"59","15To19","FullTime"
"60","15To19","FullTime"
"61","15To19","FullTime"
"62","15To19","FullTime"
"63","15To19","FullTime"
"64","15To19","FullTime"
"65","15To19","FullTime"
"66","15To19","FullTime"
"67","15To19","FullTime"
"68","15To19","FullTime"
"69","15To19","FullTime"
"70","15To19","FullTime"
"71","15To19","FullTime"
"72","15To19","FullTime"
"73","15To19","FullTime"
"74","15To19","FullTime"
"75","15To19","FullTime"
"76","15To19","FullTime"
"77","15To19","FullTime"
"78","15To19","FullTime"
"79","15To19","FullTime"
"80","15To19","FullTime"
"81","15To19","FullTime"
"82","15To19","FullTime"
"83","15To19","FullTime"
"84","15To19","FullTime"
"85","15To19","FullTime"
"86","15To19","FullTime"
"87","15To19","FullTime"
"88","15To19","FullTime"
"89","15To19","FullTime"
"90","15To19","FullTime"
"91","15To19","FullTime"
"92","15To19","FullTime"
"93","15To19","FullTime"
"94","15To19","FullTime"
"95","15To19","FullTime"
"96","15To19","FullTime"
"97","15To19","FullTime"
"98","15To19","FullTime"
"99","15To19","FullTime"
"100","15To19","FullTime"
"101","15To19","FullTime"
"102","15To19","FullTime"
"103","15To19","FullTime"
"104","15To19","FullTime"
"105","15To19","FullTime"
"106","15To19","FullTime"
"107","15To19","FullTime"
"108","15To19","FullTime"
"109","15To19","FullTime"
"110","15To19","FullTime"
"111","15To19","FullTime"
"112","15To19","FullTime"
"113","15To19","FullTime"
"114","15To19","FullTime"
"115","15To19","FullTime"
"116","15To19","FullTime"
"117","15To19","FullTime"
"118","15To19","FullTime"
"119","15To19","FullTime"
"120","15To19","FullTime"
"121","15To19","FullTime"
"122","15To19","FullTime"
"123","15To19","FullTime"
"124","15To19","FullTime"
"125","15To19","FullTime"
"126","15To19","FullTime"
"127","15To19","FullTime"
"128","15To19","FullTime"
"129","15To19","FullTime"
"130","15To19","FullTime"
"131","15To19","FullTime"
"132","15To19","FullTime"
"133","15To19","FullTime"
"134","15To19","FullTime"
"135","15To19","FullTime"
"136","15To19","FullTime"
"137","15To19","FullTime"
"138","15To19","FullTime"
"139","15To19","FullTime"
"140","15To19","FullTime"
"141","15To19","FullTime"
"142","15To19","FullTime"
"143","15To19","FullTime"
"144","15To19","FullTime"
"145","15To19","FullTime"
"146","15To19","FullTime"
"147","15To19","FullTime"
"148","15To19","FullTime"
"149","15To19","FullTime"
"150","15To19","FullTime"
"151","15To19","FullTime"
"152","15To19","FullTime"
"153","15To19","FullTime"
"154","15To19","FullTime"
"155","15To19","FullTime"
"156","15To19","FullTime"
"157","15To19","FullTime"
"158","15To19","FullTime"
"159","15To19","FullTime"
"160","15To19","FullTime"
"161","15To19","FullTime"
"162","15To19","FullTime"
"163","15To19","FullTime"
"164","15To19","FullTime"
"165","15To19","FullTime"
"166","15To19","FullTime"
"167","15To19","FullTime"
"168","15To19","FullTime"
"169","15To19","FullTime"
"170","15To19","FullTime"
"171","15To19","FullTime"
"172","15To19","FullTime"
"173","15To19","FullTime"
"174","15To19","FullTime"
"175","15To19","FullTime"
"176","15To19","FullTime"
"177","15To19","FullTime"
"178","15To19","FullTime"
"179","15To19","FullTime"
"180","15To19","FullTime"
"181","15To19","FullTime"
"182","15To19","FullTime"
"183","15To19","FullTime"
"184","15To19","FullTime"
"185","15To19","FullTime"
"186","15To19","FullTime"
"187","15To19","FullTime"
"188","15To19","FullTime"
"189","15To19","FullTime"
"190","15To19","FullTime"
"191","15To19","FullTime"
"192","15To19","FullTime"
"193","15To19","FullTime"
"194","15To19","FullTime"
"195","15To19","FullTime"
"196","15To19","FullTime"
"197","15To19","FullTime"
"198","15To19","FullTime"
"199","15To19","FullTime"
"200","15To19","FullTime"
"201","15To19","FullTime"
"202","15To19","FullTime"
"203","15To19","FullTime"
"204","15To19","FullTime"
"205","15To19","FullTime"
"206","15To19","FullTime"
"207","15To19","FullTime"
"208","15To19","FullTime"
"209","15To19","FullTime"
"210","15To19","FullTime"
"211","15To19","FullTime"
"212","15To19","FullTime"
"213","15To19","FullTime"
"214","15To19","FullTime"
"215","15To19","FullTime"
"216","15To19","FullTime"
"217","15To19","FullTime"
"218","15To19","FullTime"
"219","15To19","FullTime"
"220","15To19","FullTime"
"221","15To19","FullTime"
"222","15To19","FullTime"
"223","15To19","FullTime"
"224","15To19","FullTime"
"225","15To19","FullTime"
"226","15To19","FullTime"
"227","15To19","FullTime"
"228","15To19","FullTime"
"229","15To19","FullTime"
"230","15To19","FullTime"
"231","15To19","FullTime"
"232","15To19","FullTime"
"233","15To19","FullTime"
"234","15To19","FullTime"
"235","15To19","FullTime"
"236","15To19","FullTime"
"237","15To19","FullTime"
"238","15To19","FullTime"
"239","15To19","FullTime"
"240","15To19","FullTime"
"241","15To19","FullTime"
"242","15To19","FullTime"
"243","15To19","FullTime"
"244","15To19","FullTime"
"245","15To19","FullTime"
"246","15To19","FullTime"
"247","15To19","FullTime"
"248","15To19","FullTime"
"249","15To19","FullTime"
"250","15To19","FullTime"
"251","15To19","FullTime"
"252","15To19","FullTime"
"253","15To19","FullTime"
"254","15To19","FullTime"
"255","15To19","FullTime"
"256","15To19","FullTime"
"257","15To19","FullTime"
"258","15To19","FullTime"
"259","15To19","FullTime"
"260","15To19","FullTime"
"261","15To19","FullTime"
"262","15To19","FullTime"
"263","15To19","FullTime"
"264","15To19","FullTime"
"265","15To19","FullTime"
"266","15To19","FullTime"
"267","15To19","FullTime"
"268","15To19","FullTime"
"269","15To19","FullTime"
"270","15To19","FullTime"
"271","15To19","FullTime"
"272","15To19","FullTime"
"273","15To19","FullTime"
"274","15To19","FullTime"
"275","15To19","FullTime"
