"","Exercise","EnoughSleep"
"1","High","Yes"
"2","High","Yes"
"3","High","Yes"
"4","High","Yes"
"5","High","Yes"
"6","High","Yes"
"7","High","Yes"
"8","High","Yes"
"9","High","Yes"
"10","High","Yes"
"11","High","Yes"
"12","High","Yes"
"13","High","Yes"
"14","High","Yes"
"15","High","Yes"
"16","High","Yes"
"17","High","Yes"
"18","High","Yes"
"19","High","Yes"
"20","High","Yes"
"21","High","Yes"
"22","High","Yes"
"23","High","Yes"
"24","High","Yes"
"25","High","Yes"
"26","High","Yes"
"27","High","Yes"
"28","High","Yes"
"29","High","Yes"
"30","High","Yes"
"31","High","Yes"
"32","High","Yes"
"33","High","Yes"
"34","High","Yes"
"35","High","Yes"
"36","High","Yes"
"37","High","Yes"
"38","High","Yes"
"39","High","Yes"
"40","High","Yes"
"41","High","Yes"
"42","High","Yes"
"43","High","Yes"
"44","High","Yes"
"45","High","Yes"
"46","High","Yes"
"47","High","Yes"
"48","High","Yes"
"49","High","Yes"
"50","High","Yes"
"51","High","Yes"
"52","High","Yes"
"53","High","Yes"
"54","High","Yes"
"55","High","Yes"
"56","High","Yes"
"57","High","Yes"
"58","High","Yes"
"59","High","Yes"
"60","High","Yes"
"61","High","Yes"
"62","High","Yes"
"63","High","Yes"
"64","High","Yes"
"65","High","Yes"
"66","High","Yes"
"67","High","Yes"
"68","High","Yes"
"69","High","Yes"
"70","High","Yes"
"71","High","Yes"
"72","High","Yes"
"73","High","Yes"
"74","High","Yes"
"75","High","Yes"
"76","High","Yes"
"77","High","Yes"
"78","High","Yes"
"79","High","Yes"
"80","High","Yes"
"81","High","Yes"
"82","High","Yes"
"83","High","Yes"
"84","High","Yes"
"85","High","Yes"
"86","High","Yes"
"87","High","Yes"
"88","High","Yes"
"89","High","Yes"
"90","High","Yes"
"91","High","Yes"
"92","High","Yes"
"93","High","Yes"
"94","High","Yes"
"95","High","Yes"
"96","High","Yes"
"97","High","Yes"
"98","High","Yes"
"99","High","Yes"
"100","High","Yes"
"101","High","Yes"
"102","High","Yes"
"103","High","Yes"
"104","High","Yes"
"105","High","Yes"
"106","High","Yes"
"107","High","Yes"
"108","High","Yes"
"109","High","Yes"
"110","High","Yes"
"111","High","Yes"
"112","High","Yes"
"113","High","Yes"
"114","High","Yes"
"115","High","Yes"
"116","High","Yes"
"117","High","Yes"
"118","High","Yes"
"119","High","Yes"
"120","High","Yes"
"121","High","Yes"
"122","High","Yes"
"123","High","Yes"
"124","High","Yes"
"125","High","Yes"
"126","High","Yes"
"127","High","Yes"
"128","High","Yes"
"129","High","Yes"
"130","High","Yes"
"131","High","Yes"
"132","High","Yes"
"133","High","Yes"
"134","High","Yes"
"135","High","Yes"
"136","High","Yes"
"137","High","Yes"
"138","High","Yes"
"139","High","Yes"
"140","High","Yes"
"141","High","Yes"
"142","High","Yes"
"143","High","Yes"
"144","High","Yes"
"145","High","Yes"
"146","High","Yes"
"147","High","Yes"
"148","High","Yes"
"149","High","Yes"
"150","High","Yes"
"151","High","Yes"
"152","Low","Yes"
"153","Low","Yes"
"154","Low","Yes"
"155","Low","Yes"
"156","Low","Yes"
"157","Low","Yes"
"158","Low","Yes"
"159","Low","Yes"
"160","Low","Yes"
"161","Low","Yes"
"162","Low","Yes"
"163","Low","Yes"
"164","Low","Yes"
"165","Low","Yes"
"166","Low","Yes"
"167","Low","Yes"
"168","Low","Yes"
"169","Low","Yes"
"170","Low","Yes"
"171","Low","Yes"
"172","Low","Yes"
"173","Low","Yes"
"174","Low","Yes"
"175","Low","Yes"
"176","Low","Yes"
"177","Low","Yes"
"178","Low","Yes"
"179","Low","Yes"
"180","Low","Yes"
"181","Low","Yes"
"182","Low","Yes"
"183","Low","Yes"
"184","Low","Yes"
"185","Low","Yes"
"186","Low","Yes"
"187","Low","Yes"
"188","Low","Yes"
"189","Low","Yes"
"190","Low","Yes"
"191","Low","Yes"
"192","Low","Yes"
"193","Low","Yes"
"194","Low","Yes"
"195","Low","Yes"
"196","Low","Yes"
"197","Low","Yes"
"198","Low","Yes"
"199","Low","Yes"
"200","Low","Yes"
"201","Low","Yes"
"202","Low","Yes"
"203","Low","Yes"
"204","Low","Yes"
"205","Low","Yes"
"206","Low","Yes"
"207","Low","Yes"
"208","Low","Yes"
"209","Low","Yes"
"210","Low","Yes"
"211","Low","Yes"
"212","Low","Yes"
"213","Low","Yes"
"214","Low","Yes"
"215","Low","Yes"
"216","Low","Yes"
"217","Low","Yes"
"218","Low","Yes"
"219","Low","Yes"
"220","Low","Yes"
"221","Low","Yes"
"222","Low","Yes"
"223","Low","Yes"
"224","Low","Yes"
"225","Low","Yes"
"226","Low","Yes"
"227","Low","Yes"
"228","Low","Yes"
"229","Low","Yes"
"230","Low","Yes"
"231","Low","Yes"
"232","Low","Yes"
"233","Low","Yes"
"234","Low","Yes"
"235","Low","Yes"
"236","Low","Yes"
"237","Low","Yes"
"238","Low","Yes"
"239","Low","Yes"
"240","Low","Yes"
"241","Low","Yes"
"242","Low","Yes"
"243","Low","Yes"
"244","Low","Yes"
"245","Low","Yes"
"246","Low","Yes"
"247","Low","Yes"
"248","Low","Yes"
"249","Low","Yes"
"250","Low","Yes"
"251","Low","Yes"
"252","Low","Yes"
"253","Low","Yes"
"254","Low","Yes"
"255","Low","Yes"
"256","Low","Yes"
"257","Low","Yes"
"258","Low","Yes"
"259","Low","Yes"
"260","Low","Yes"
"261","Low","Yes"
"262","Low","Yes"
"263","Low","Yes"
"264","Low","Yes"
"265","Low","Yes"
"266","Low","Yes"
"267","High","No"
"268","High","No"
"269","High","No"
"270","High","No"
"271","High","No"
"272","High","No"
"273","High","No"
"274","High","No"
"275","High","No"
"276","High","No"
"277","High","No"
"278","High","No"
"279","High","No"
"280","High","No"
"281","High","No"
"282","High","No"
"283","High","No"
"284","High","No"
"285","High","No"
"286","High","No"
"287","High","No"
"288","High","No"
"289","High","No"
"290","High","No"
"291","High","No"
"292","High","No"
"293","High","No"
